Coryell County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.77
201002,3.04
201003,3.06
201004,2.57
201005,1.15
201006,2.96
201007,4.34
201008,0.75
201009,9.54
201010,0.25
201011,0.83
201012,1.13
201101,3.24
201102,1.45
201103,0.08
201104,0.88
201105,3.08
201106,0.98
201107,0.24
201108,0.35
201109,1.01
201110,3.94
201111,1.44
201112,4.17
201201,3.08
201202,3.76
201203,6.20
201204,0.74
201205,2.77
201206,2.84
201207,2.28
201208,2.00
201209,4.19
201210,0.19
201211,0.01
201212,0.73
201301,4.09
201302,1.17
201303,1.72
201304,1.94
201305,4.77
201306,0.84
201307,5.28
201308,0.81
201309,5.25
201310,6.11
201311,1.93
201312,1.41
201401,0.09
201402,0.30
201403,0.99
201404,1.60
201405,7.25
201406,5.97
201407,1.71
201408,0.90
201409,1.93
201410,3.36
201411,3.47
201412,0.50
201501,3.41
201502,1.12
201503,3.27
201504,3.17
201505,10.75
201506,4.31
201507,0.04
201508,0.62
201509,0.91
201510,11.93
201511,5.33
201512,2.01
201601,0.27
201602,2.08
201603,3.86
201604,7.01
201605,6.09
201606,3.39
201607,1.08
201608,10.07
201609,1.39
201610,0.21
201611,4.59
201612,1.51
