Denton County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,42.7
201002,40.2
201003,53.8
201004,64.8
201005,74.0
201006,85.1
201007,84.8
201008,88.3
201009,78.5
201010,66.4
201011,56.4
201012,46.9
201101,41.0
201102,47.5
201103,59.5
201104,68.5
201105,70.8
201106,85.6
201107,90.8
201108,92.2
201109,78.0
201110,66.2
201111,56.3
201112,45.5
201201,48.2
201202,50.5
201203,63.4
201204,68.8
201205,75.9
201206,82.2
201207,87.0
201208,85.0
201209,78.6
201210,64.8
201211,57.5
201212,48.9
201301,46.7
201302,49.9
201303,54.2
201304,60.7
201305,70.6
201306,81.0
201307,83.0
201308,86.5
201309,80.8
201310,65.9
201311,51.2
201312,41.1
201401,42.4
201402,43.7
201403,52.7
201404,63.8
201405,71.6
201406,80.4
201407,81.7
201408,83.8
201409,77.9
201410,70.0
201411,50.2
201412,48.4
201501,42.8
201502,44.2
201503,54.8
201504,65.0
201505,70.5
201506,80.7
201507,85.7
201508,85.4
201509,80.6
201510,68.9
201511,56.4
201512,50.7
201601,44.6
201602,53.1
201603,59.0
201604,65.6
201605,69.8
201606,81.3
201607,85.5
201608,83.7
201609,78.8
201610,71.3
201611,61.0
201612,46.8
