Dickens County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,39.7
201002,39.2
201003,51.8
201004,61.8
201005,69.0
201006,81.3
201007,78.8
201008,81.9
201009,75.0
201010,64.9
201011,51.9
201012,45.1
201101,39.7
201102,43.0
201103,56.6
201104,66.5
201105,71.7
201106,86.6
201107,87.9
201108,88.2
201109,73.9
201110,63.5
201111,52.0
201112,40.5
201201,46.0
201202,46.1
201203,60.3
201204,69.4
201205,75.9
201206,81.2
201207,84.0
201208,82.4
201209,74.5
201210,61.5
201211,56.4
201212,45.5
201301,42.2
201302,45.3
201303,54.0
201304,58.6
201305,71.7
201306,81.0
201307,79.8
201308,81.7
201309,76.3
201310,63.6
201311,49.5
201312,39.2
201401,40.7
201402,39.6
201403,50.4
201404,62.7
201405,70.8
201406,78.7
201407,80.5
201408,81.7
201409,72.7
201410,66.1
201411,47.2
201412,46.3
201501,39.6
201502,44.2
201503,52.6
201504,62.8
201505,66.8
201506,77.3
201507,81.5
201508,81.4
201509,78.0
201510,65.7
201511,53.0
201512,46.4
201601,41.9
201602,50.2
201603,58.1
201604,62.4
201605,68.3
201606,78.5
201607,85.4
201608,79.9
201609,74.6
201610,68.2
201611,57.4
201612,42.7
