Jones County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.38
201002,1.73
201003,1.95
201004,4.13
201005,2.43
201006,3.11
201007,4.63
201008,1.06
201009,3.86
201010,0.84
201011,0.21
201012,0.94
201101,0.20
201102,0.49
201103,0.22
201104,0.37
201105,0.80
201106,0.13
201107,0.10
201108,1.16
201109,0.72
201110,3.73
201111,0.69
201112,2.04
201201,2.40
201202,1.39
201203,0.92
201204,0.54
201205,1.98
201206,2.12
201207,1.93
201208,1.36
201209,5.49
201210,0.64
201211,0.06
201212,0.11
201301,1.34
201302,0.66
201303,0.11
201304,1.49
201305,1.51
201306,4.88
201307,4.39
201308,2.07
201309,3.82
201310,0.71
201311,0.50
201312,1.23
201401,0.00
201402,0.99
201403,0.27
201404,0.71
201405,3.24
201406,3.73
201407,2.28
201408,0.79
201409,3.61
201410,1.03
201411,2.44
201412,0.66
201501,1.68
201502,1.31
201503,1.77
201504,4.59
201505,8.43
201506,3.48
201507,3.27
201508,0.74
201509,0.53
201510,5.68
201511,3.64
201512,2.29
201601,0.09
201602,0.71
201603,1.10
201604,5.36
201605,7.25
201606,2.93
201607,1.17
201608,3.85
201609,5.55
201610,1.93
201611,2.80
201612,1.21
