Kendall County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,46.9
201002,46.4
201003,56.1
201004,65.7
201005,74.6
201006,81.2
201007,81.6
201008,84.4
201009,77.6
201010,67.1
201011,59.6
201012,50.5
201101,47.4
201102,52.0
201103,63.9
201104,71.9
201105,75.8
201106,83.3
201107,85.4
201108,86.9
201109,79.2
201110,68.1
201111,59.8
201112,49.9
201201,53.0
201202,55.0
201203,64.4
201204,71.6
201205,74.9
201206,81.5
201207,82.3
201208,83.7
201209,76.5
201210,67.4
201211,60.8
201212,54.0
201301,51.2
201302,55.6
201303,59.3
201304,64.1
201305,71.8
201306,80.8
201307,80.9
201308,83.6
201309,78.1
201310,68.3
201311,54.2
201312,47.4
201401,46.2
201402,51.9
201403,57.4
201404,67.0
201405,72.1
201406,79.9
201407,82.1
201408,83.8
201409,77.8
201410,71.8
201411,53.8
201412,53.9
201501,46.2
201502,50.0
201503,57.5
201504,68.3
201505,72.8
201506,78.4
201507,82.4
201508,83.6
201509,79.6
201510,71.0
201511,59.4
201512,53.4
201601,49.2
201602,56.1
201603,62.6
201604,66.5
201605,72.1
201606,79.0
201607,84.4
201608,81.5
201609,78.2
201610,71.1
201611,63.3
201612,52.8
