Lavaca County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,49.3
201002,48.1
201003,58.5
201004,67.9
201005,78.3
201006,82.9
201007,83.4
201008,85.8
201009,79.7
201010,69.7
201011,61.2
201012,54.6
201101,51.1
201102,55.3
201103,66.2
201104,74.2
201105,77.4
201106,84.5
201107,86.9
201108,89.0
201109,82.6
201110,71.0
201111,63.2
201112,54.3
201201,56.8
201202,58.2
201203,67.3
201204,72.8
201205,77.7
201206,83.5
201207,83.0
201208,85.1
201209,79.7
201210,70.2
201211,63.3
201212,58.4
201301,54.1
201302,58.7
201303,61.2
201304,66.8
201305,75.1
201306,83.8
201307,84.4
201308,85.5
201309,81.9
201310,71.7
201311,58.4
201312,50.6
201401,49.3
201402,54.3
201403,58.3
201404,68.6
201405,73.6
201406,81.9
201407,84.1
201408,86.1
201409,80.8
201410,73.9
201411,57.5
201412,57.0
201501,48.7
201502,53.0
201503,60.8
201504,71.8
201505,76.3
201506,80.8
201507,84.8
201508,85.9
201509,80.8
201510,74.0
201511,63.6
201512,58.2
201601,51.8
201602,59.5
201603,66.0
201604,69.9
201605,75.9
201606,82.3
201607,86.2
201608,84.4
201609,82.1
201610,75.2
201611,68.6
201612,57.3
