Loving County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,43.7
201002,46.7
201003,55.1
201004,65.5
201005,73.2
201006,85.4
201007,81.0
201008,83.7
201009,77.5
201010,67.1
201011,53.5
201012,48.6
201101,43.9
201102,46.3
201103,63.0
201104,71.4
201105,74.1
201106,88.5
201107,87.5
201108,88.3
201109,77.6
201110,67.4
201111,55.2
201112,42.4
201201,48.3
201202,50.0
201203,61.4
201204,71.4
201205,75.4
201206,85.2
201207,83.3
201208,84.2
201209,76.3
201210,64.8
201211,57.6
201212,47.5
201301,44.1
201302,49.0
201303,58.0
201304,64.4
201305,73.4
201306,84.7
201307,81.5
201308,83.4
201309,77.0
201310,65.1
201311,53.2
201312,43.6
201401,45.1
201402,49.4
201403,57.1
201404,65.6
201405,73.0
201406,84.9
201407,84.8
201408,84.0
201409,74.9
201410,68.0
201411,51.2
201412,48.4
201501,42.6
201502,49.1
201503,55.8
201504,65.0
201505,71.2
201506,80.9
201507,85.9
201508,84.8
201509,80.3
201510,67.4
201511,55.3
201512,48.0
201601,45.1
201602,52.7
201603,60.7
201604,65.8
201605,71.9
201606,81.0
201607,88.2
201608,80.6
201609,76.4
201610,70.5
201611,56.8
201612,46.6
