Walker County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,46.3
201002,45.0
201003,56.2
201004,66.7
201005,77.4
201006,82.9
201007,82.9
201008,86.7
201009,79.9
201010,69.5
201011,60.0
201012,51.8
201101,47.4
201102,52.5
201103,63.8
201104,72.5
201105,75.2
201106,85.3
201107,87.1
201108,89.7
201109,80.6
201110,68.8
201111,61.0
201112,51.6
201201,55.4
201202,56.0
201203,66.4
201204,71.3
201205,76.5
201206,81.7
201207,82.6
201208,84.8
201209,78.6
201210,67.5
201211,59.9
201212,55.2
201301,52.3
201302,54.9
201303,57.9
201304,64.9
201305,73.1
201306,82.0
201307,82.6
201308,84.9
201309,81.1
201310,69.0
201311,55.1
201312,48.3
201401,46.4
201402,51.2
201403,56.0
201404,66.7
201405,71.9
201406,80.6
201407,81.8
201408,83.4
201409,79.1
201410,70.6
201411,54.5
201412,54.2
201501,46.6
201502,49.1
201503,58.3
201504,69.3
201505,74.2
201506,80.2
201507,84.4
201508,84.0
201509,79.4
201510,70.8
201511,60.2
201512,56.2
201601,49.3
201602,56.8
201603,63.6
201604,68.0
201605,72.3
201606,80.8
201607,85.1
201608,82.3
201609,80.2
201610,72.1
201611,64.0
201612,53.9
