Wharton County, Texas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.70
201002,3.25
201003,2.31
201004,0.66
201005,5.11
201006,4.04
201007,11.63
201008,1.91
201009,6.57
201010,0.02
201011,2.37
201012,2.49
201101,2.92
201102,0.55
201103,0.31
201104,0.02
201105,1.32
201106,3.01
201107,1.21
201108,0.91
201109,1.16
201110,2.11
201111,1.59
201112,2.86
201201,4.23
201202,4.12
201203,3.87
201204,2.38
201205,2.65
201206,4.63
201207,6.43
201208,2.47
201209,4.31
201210,0.96
201211,0.36
201212,2.03
201301,4.43
201302,1.39
201303,0.28
201304,4.84
201305,1.36
201306,1.69
201307,4.00
201308,2.71
201309,4.28
201310,3.95
201311,4.33
201312,0.50
201401,1.53
201402,1.46
201403,2.83
201404,1.03
201405,8.84
201406,2.60
201407,2.15
201408,2.04
201409,4.05
201410,2.24
201411,4.34
201412,4.42
201501,3.95
201502,0.82
201503,6.64
201504,6.99
201505,8.59
201506,9.68
201507,1.16
201508,2.91
201509,4.13
201510,7.61
201511,3.46
201512,2.29
201601,1.97
201602,1.78
201603,2.69
201604,6.55
201605,6.44
201606,4.54
201607,2.60
201608,7.57
201609,4.22
201610,0.56
201611,2.18
201612,4.23
