Willacy County, Texas, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,58.3
201002,56.7
201003,65.3
201004,73.8
201005,80.7
201006,85.0
201007,83.9
201008,86.4
201009,81.8
201010,75.2
201011,68.3
201012,62.1
201101,59.6
201102,61.7
201103,72.4
201104,79.3
201105,81.3
201106,84.3
201107,85.4
201108,87.6
201109,84.1
201110,76.0
201111,69.1
201112,61.1
201201,65.0
201202,65.6
201203,73.1
201204,78.0
201205,80.8
201206,85.3
201207,85.8
201208,87.0
201209,83.0
201210,77.7
201211,70.6
201212,66.0
201301,60.6
201302,68.0
201303,68.1
201304,73.1
201305,78.7
201306,85.6
201307,85.3
201308,85.9
201309,82.2
201310,77.4
201311,66.1
201312,57.9
201401,56.1
201402,61.2
201403,64.6
201404,74.2
201405,76.8
201406,85.1
201407,85.3
201408,86.9
201409,82.1
201410,78.2
201411,61.9
201412,64.6
201501,53.5
201502,60.1
201503,63.4
201504,76.2
201505,80.0
201506,83.2
201507,85.0
201508,85.6
201509,82.7
201510,77.9
201511,70.8
201512,65.0
201601,58.1
201602,66.0
201603,72.0
201604,76.4
201605,80.8
201606,83.2
201607,87.7
201608,87.3
201609,84.9
201610,79.3
201611,73.2
201612,64.7
