Salt Lake County, Utah, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,29.4
201002,31.8
201003,38.8
201004,44.2
201005,49.0
201006,63.7
201007,73.3
201008,70.3
201009,64.2
201010,51.8
201011,35.5
201012,32.8
201101,26.5
201102,30.0
201103,39.1
201104,41.6
201105,49.6
201106,61.6
201107,72.4
201108,73.2
201109,64.5
201110,50.6
201111,36.6
201112,28.0
201201,31.6
201202,32.4
201203,43.9
201204,49.8
201205,56.5
201206,67.7
201207,74.8
201208,74.6
201209,64.5
201210,50.4
201211,42.3
201212,30.4
201301,21.2
201302,27.8
201303,40.6
201304,43.8
201305,56.1
201306,68.2
201307,75.5
201308,72.9
201309,62.5
201310,46.8
201311,39.9
201312,24.2
201401,29.9
201402,35.8
201403,41.8
201404,46.6
201405,57.2
201406,64.8
201407,75.5
201408,68.4
201409,64.9
201410,53.8
201411,38.3
201412,33.6
201501,33.3
201502,39.8
201503,45.6
201504,47.7
201505,54.8
201506,71.2
201507,70.9
201508,71.6
201509,66.1
201510,55.5
201511,35.7
201512,28.7
201601,28.6
201602,34.9
201603,42.5
201604,49.3
201605,55.0
201606,70.7
201607,75.1
201608,72.6
201609,62.3
201610,53.7
201611,43.6
201612,27.8
