Fluvanna County, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,34.1
201002,33.3
201003,49.2
201004,60.0
201005,67.1
201006,77.4
201007,79.6
201008,77.4
201009,71.5
201010,59.0
201011,46.8
201012,31.2
201101,33.3
201102,41.4
201103,46.5
201104,59.2
201105,66.1
201106,74.5
201107,79.1
201108,76.2
201109,69.3
201110,56.6
201111,50.3
201112,43.0
201201,39.2
201202,43.2
201203,56.7
201204,56.7
201205,69.1
201206,71.6
201207,80.9
201208,75.4
201209,67.8
201210,57.2
201211,43.2
201212,43.2
201301,38.9
201302,37.4
201303,41.2
201304,57.5
201305,63.4
201306,73.3
201307,77.0
201308,72.2
201309,66.6
201310,58.2
201311,44.6
201312,41.1
201401,30.5
201402,38.1
201403,40.6
201404,55.9
201405,66.6
201406,73.4
201407,75.0
201408,72.0
201409,69.5
201410,58.9
201411,43.6
201412,40.8
201501,34.2
201502,30.1
201503,44.1
201504,57.0
201505,69.1
201506,74.5
201507,76.3
201508,74.6
201509,70.7
201510,56.9
201511,52.0
201512,50.1
201601,33.7
201602,39.4
201603,53.1
201604,55.8
201605,62.9
201606,73.4
201607,78.5
201608,78.1
201609,73.1
201610,59.9
201611,48.5
201612,38.9
