Orange County, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,33.4
201002,32.0
201003,48.7
201004,59.2
201005,66.7
201006,76.8
201007,79.2
201008,76.8
201009,71.3
201010,58.3
201011,46.3
201012,30.7
201101,32.0
201102,40.4
201103,45.8
201104,58.1
201105,65.6
201106,74.3
201107,79.2
201108,75.7
201109,68.4
201110,55.5
201111,49.0
201112,41.8
201201,37.8
201202,41.8
201203,55.2
201204,55.2
201205,67.7
201206,70.8
201207,79.8
201208,74.8
201209,66.9
201210,56.5
201211,42.5
201212,42.2
201301,37.6
201302,36.0
201303,40.2
201304,56.0
201305,62.3
201306,72.8
201307,76.7
201308,71.6
201309,65.4
201310,57.0
201311,42.7
201312,39.6
201401,29.4
201402,36.4
201403,40.0
201404,54.1
201405,65.3
201406,72.6
201407,74.5
201408,71.4
201409,68.3
201410,57.9
201411,42.8
201412,40.1
201501,32.8
201502,28.5
201503,43.0
201504,55.5
201505,67.8
201506,73.4
201507,75.5
201508,74.0
201509,69.8
201510,55.9
201511,50.9
201512,48.9
201601,32.5
201602,38.2
201603,51.8
201604,54.7
201605,61.3
201606,72.5
201607,77.8
201608,77.5
201609,72.3
201610,58.9
201611,47.5
201612,38.6
