Spotsylvania County, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.66
201002,3.06
201003,5.18
201004,1.99
201005,2.90
201006,2.29
201007,2.46
201008,4.83
201009,4.09
201010,4.79
201011,2.01
201012,1.82
201101,1.73
201102,1.14
201103,5.98
201104,3.82
201105,4.27
201106,3.46
201107,2.72
201108,7.31
201109,8.84
201110,3.80
201111,3.06
201112,4.30
201201,2.20
201202,2.35
201203,2.86
201204,2.17
201205,4.75
201206,3.34
201207,3.26
201208,4.04
201209,2.89
201210,5.01
201211,0.60
201212,3.45
201301,4.11
201302,1.61
201303,3.37
201304,2.87
201305,3.59
201306,5.93
201307,3.27
201308,6.09
201309,1.25
201310,3.08
201311,3.18
201312,6.11
201401,2.67
201402,2.87
201403,2.53
201404,5.75
201405,5.77
201406,3.51
201407,2.66
201408,3.76
201409,1.47
201410,3.09
201411,2.30
201412,3.28
201501,2.92
201502,2.18
201503,3.70
201504,4.25
201505,2.56
201506,6.75
201507,4.52
201508,1.27
201509,4.70
201510,4.15
201511,2.39
201512,3.96
201601,3.37
201602,3.31
201603,1.18
201604,1.89
201605,8.17
201606,4.21
201607,4.26
201608,2.65
201609,6.43
201610,2.90
201611,0.95
201612,2.53
