Chesapeake City, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,37.3
201002,37.1
201003,51.0
201004,61.2
201005,69.6
201006,79.6
201007,81.0
201008,79.2
201009,73.7
201010,62.6
201011,50.8
201012,34.2
201101,35.9
201102,45.3
201103,48.7
201104,61.8
201105,68.6
201106,77.0
201107,81.0
201108,78.5
201109,72.8
201110,60.1
201111,53.9
201112,48.3
201201,44.3
201202,45.4
201203,58.0
201204,58.4
201205,69.5
201206,73.1
201207,81.5
201208,78.0
201209,71.0
201210,61.6
201211,47.0
201212,48.6
201301,42.4
201302,41.9
201303,44.4
201304,59.1
201305,66.6
201306,75.6
201307,79.4
201308,75.7
201309,69.9
201310,63.0
201311,50.0
201312,45.8
201401,36.3
201402,41.1
201403,45.6
201404,57.9
201405,69.4
201406,75.3
201407,77.1
201408,75.6
201409,72.8
201410,63.7
201411,48.1
201412,45.7
201501,39.6
201502,32.8
201503,47.3
201504,59.0
201505,69.4
201506,77.9
201507,79.0
201508,76.9
201509,74.4
201510,62.0
201511,56.2
201512,56.4
201601,39.6
201602,43.7
201603,55.0
201604,57.0
201605,65.0
201606,74.4
201607,80.9
201608,80.2
201609,75.0
201610,64.3
201611,51.1
201612,44.3
