Portsmouth City, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,38.0
201002,37.4
201003,51.7
201004,62.0
201005,70.2
201006,80.4
201007,82.1
201008,80.1
201009,74.9
201010,63.6
201011,51.7
201012,34.9
201101,36.3
201102,45.6
201103,49.1
201104,62.2
201105,69.6
201106,78.0
201107,81.9
201108,79.4
201109,73.7
201110,61.0
201111,54.9
201112,49.0
201201,45.0
201202,46.0
201203,58.6
201204,59.2
201205,70.3
201206,74.2
201207,82.4
201208,78.9
201209,71.9
201210,62.5
201211,47.9
201212,49.5
201301,43.2
201302,42.5
201303,45.1
201304,60.0
201305,67.5
201306,76.4
201307,80.5
201308,76.6
201309,71.0
201310,64.0
201311,50.8
201312,46.5
201401,36.8
201402,41.3
201403,45.9
201404,58.2
201405,70.0
201406,76.2
201407,78.1
201408,76.6
201409,73.6
201410,64.6
201411,49.0
201412,46.5
201501,40.2
201502,33.0
201503,47.9
201504,59.5
201505,70.4
201506,78.8
201507,79.9
201508,78.0
201509,75.5
201510,62.8
201511,57.0
201512,57.2
201601,40.3
201602,44.0
201603,55.5
201604,57.3
201605,65.5
201606,75.0
201607,81.5
201608,80.9
201609,75.6
201610,64.9
201611,51.9
201612,44.6
