Salem City, Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.48
201002,2.09
201003,4.33
201004,1.57
201005,4.44
201006,1.79
201007,3.95
201008,5.64
201009,5.66
201010,2.47
201011,2.46
201012,2.83
201101,0.88
201102,1.75
201103,4.85
201104,5.63
201105,4.39
201106,3.36
201107,3.88
201108,1.56
201109,7.12
201110,3.96
201111,4.64
201112,4.35
201201,1.92
201202,2.11
201203,3.77
201204,3.43
201205,3.90
201206,3.27
201207,3.61
201208,3.89
201209,3.92
201210,1.64
201211,0.78
201212,2.63
201301,7.61
201302,1.78
201303,3.22
201304,3.40
201305,5.85
201306,6.58
201307,11.23
201308,3.36
201309,1.76
201310,2.77
201311,2.93
201312,4.80
201401,1.89
201402,4.22
201403,2.83
201404,4.10
201405,2.57
201406,2.84
201407,3.11
201408,7.01
201409,2.09
201410,4.09
201411,3.51
201412,2.49
201501,1.33
201502,2.40
201503,4.25
201504,5.10
201505,1.93
201506,6.56
201507,4.46
201508,3.02
201509,9.12
201510,5.77
201511,4.05
201512,4.87
201601,2.89
201602,4.84
201603,2.33
201604,1.49
201605,5.54
201606,5.37
201607,5.34
201608,5.00
201609,4.34
201610,4.24
201611,1.07
201612,2.86
