Williamsburg City, Virginia, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,36.2
201002,35.7
201003,50.7
201004,61.2
201005,69.6
201006,79.4
201007,81.6
201008,79.9
201009,74.2
201010,61.4
201011,49.8
201012,33.4
201101,34.5
201102,44.5
201103,47.8
201104,61.7
201105,68.6
201106,76.6
201107,80.6
201108,77.8
201109,72.9
201110,59.3
201111,53.8
201112,46.6
201201,43.4
201202,44.4
201203,57.7
201204,58.0
201205,69.6
201206,73.3
201207,82.1
201208,77.9
201209,70.2
201210,60.7
201211,46.0
201212,47.0
201301,42.5
201302,41.3
201303,44.6
201304,60.0
201305,67.2
201306,75.7
201307,80.0
201308,75.3
201309,69.5
201310,61.8
201311,48.2
201312,44.2
201401,34.6
201402,40.0
201403,45.0
201404,58.1
201405,69.4
201406,75.5
201407,77.9
201408,75.0
201409,72.4
201410,62.4
201411,47.0
201412,44.0
201501,37.5
201502,31.7
201503,46.6
201504,58.8
201505,70.4
201506,77.4
201507,79.0
201508,76.8
201509,74.1
201510,60.3
201511,54.8
201512,54.9
201601,38.3
201602,42.6
201603,54.8
201604,57.5
201605,65.0
201606,74.6
201607,81.2
201608,80.9
201609,75.3
201610,63.5
201611,51.1
201612,43.0
