Lincoln County, Washington, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,34.4
201002,37.5
201003,41.0
201004,46.4
201005,50.0
201006,57.9
201007,66.9
201008,65.8
201009,58.1
201010,49.0
201011,32.0
201012,28.0
201101,27.4
201102,28.4
201103,39.1
201104,40.4
201105,50.5
201106,57.8
201107,63.1
201108,67.2
201109,62.4
201110,46.5
201111,33.4
201112,26.3
201201,27.2
201202,32.8
201203,38.3
201204,47.3
201205,52.1
201206,58.0
201207,69.6
201208,68.4
201209,60.6
201210,47.2
201211,37.3
201212,30.7
201301,22.6
201302,31.9
201303,39.2
201304,44.9
201305,54.4
201306,59.8
201307,70.5
201308,68.9
201309,61.5
201310,44.9
201311,33.6
201312,23.4
201401,28.7
201402,25.7
201403,39.0
201404,45.8
201405,55.1
201406,60.2
201407,72.4
201408,70.1
201409,61.0
201410,51.3
201411,33.4
201412,31.4
201501,29.6
201502,38.7
201503,44.2
201504,45.4
201505,57.9
201506,68.1
201507,71.3
201508,68.9
201509,56.5
201510,52.5
201511,33.7
201512,28.7
201601,29.1
201602,37.7
201603,41.5
201604,52.1
201605,56.3
201606,61.6
201607,65.6
201608,67.7
201609,56.4
201610,47.2
201611,42.6
201612,20.4
