Brown County, Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,18.9
201002,23.2
201003,37.0
201004,49.1
201005,57.6
201006,65.0
201007,71.7
201008,71.7
201009,57.9
201010,50.2
201011,37.2
201012,20.5
201101,15.0
201102,20.4
201103,28.6
201104,41.3
201105,52.8
201106,63.3
201107,73.4
201108,69.1
201109,57.8
201110,50.4
201111,38.8
201112,29.0
201201,23.6
201202,29.0
201203,45.4
201204,44.8
201205,59.2
201206,67.2
201207,74.8
201208,68.2
201209,58.6
201210,46.5
201211,36.3
201212,29.1
201301,19.5
201302,19.3
201303,26.2
201304,39.5
201305,54.7
201306,64.0
201307,69.1
201308,67.7
201309,60.2
201310,48.5
201311,33.9
201312,15.6
201401,8.8
201402,9.8
201403,22.4
201404,40.4
201405,54.3
201406,65.5
201407,66.0
201408,67.1
201409,58.7
201410,47.7
201411,28.6
201412,26.5
201501,17.5
201502,10.2
201503,32.1
201504,44.5
201505,56.6
201506,63.3
201507,68.8
201508,67.2
201509,65.3
201510,50.1
201511,41.2
201512,34.7
201601,19.4
201602,24.4
201603,36.6
201604,41.4
201605,55.7
201606,65.7
201607,70.3
201608,70.5
201609,64.1
201610,52.1
201611,43.3
201612,23.6
