La Crosse County, Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,13.7
201002,19.5
201003,39.4
201004,52.8
201005,59.0
201006,67.4
201007,73.3
201008,73.2
201009,59.2
201010,52.0
201011,35.8
201012,15.8
201101,12.7
201102,19.3
201103,30.5
201104,44.5
201105,56.3
201106,67.0
201107,75.4
201108,70.3
201109,58.7
201110,51.8
201111,38.4
201112,26.8
201201,22.5
201202,28.2
201203,49.3
201204,48.3
201205,62.4
201206,70.1
201207,77.8
201208,69.3
201209,60.1
201210,46.8
201211,36.8
201212,25.4
201301,18.6
201302,19.4
201303,25.6
201304,40.5
201305,57.4
201306,66.0
201307,71.3
201308,70.2
201309,64.2
201310,48.5
201311,32.0
201312,13.9
201401,7.9
201402,8.4
201403,25.4
201404,42.9
201405,58.0
201406,69.4
201407,68.0
201408,70.4
201409,60.6
201410,47.9
201411,27.0
201412,25.4
201501,17.9
201502,9.6
201503,33.5
201504,48.5
201505,59.4
201506,67.2
201507,70.3
201508,68.5
201509,67.1
201510,50.8
201511,41.0
201512,32.2
201601,17.0
201602,24.3
201603,39.5
201604,47.2
201605,58.8
201606,68.8
201607,72.2
201608,71.4
201609,64.6
201610,52.9
201611,43.9
201612,20.7
