Oneida County, Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,15.0
201002,18.2
201003,35.6
201004,47.6
201005,55.6
201006,61.4
201007,68.2
201008,67.9
201009,53.0
201010,46.7
201011,32.5
201012,16.6
201101,9.9
201102,16.5
201103,24.0
201104,37.8
201105,51.4
201106,61.3
201107,70.0
201108,65.0
201109,54.6
201110,47.6
201111,33.7
201112,21.5
201201,16.4
201202,22.2
201203,41.3
201204,41.5
201205,55.6
201206,63.4
201207,70.0
201208,63.0
201209,53.5
201210,42.0
201211,30.7
201212,22.3
201301,13.4
201302,13.0
201303,20.3
201304,33.4
201305,51.9
201306,59.9
201307,66.0
201308,63.6
201309,56.6
201310,43.2
201311,27.5
201312,7.3
201401,2.0
201402,4.3
201403,15.8
201404,34.2
201405,52.2
201406,62.8
201407,61.6
201408,62.1
201409,54.2
201410,42.7
201411,21.1
201412,19.2
201501,10.8
201502,2.7
201503,26.4
201504,40.7
201505,53.1
201506,59.3
201507,65.0
201508,61.8
201509,61.0
201510,44.1
201511,35.7
201512,28.3
201601,13.5
201602,18.9
201603,32.7
201604,38.6
201605,52.6
201606,62.1
201607,66.0
201608,65.9
201609,58.7
201610,46.8
201611,38.2
201612,17.1
