Wyoming County, West Virginia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.79
201002,3.08
201003,4.20
201004,2.48
201005,5.74
201006,8.32
201007,4.63
201008,3.99
201009,1.64
201010,2.26
201011,2.64
201012,4.35
201101,2.71
201102,2.58
201103,5.88
201104,6.93
201105,5.02
201106,2.80
201107,3.66
201108,4.00
201109,6.89
201110,3.93
201111,3.93
201112,4.24
201201,3.51
201202,3.08
201203,6.00
201204,5.03
201205,3.58
201206,2.61
201207,7.15
201208,3.81
201209,5.39
201210,3.09
201211,0.86
201212,3.52
201301,4.96
201302,1.49
201303,3.06
201304,3.53
201305,4.45
201306,5.05
201307,5.29
201308,4.58
201309,1.64
201310,2.26
201311,3.96
201312,7.01
201401,2.33
201402,3.44
201403,3.20
201404,2.96
201405,3.16
201406,3.73
201407,3.79
201408,7.30
201409,2.52
201410,5.93
201411,2.94
201412,3.31
201501,2.04
201502,4.17
201503,6.06
201504,7.33
201505,1.58
201506,4.20
201507,8.75
201508,3.15
201509,3.55
201510,2.82
201511,2.51
201512,4.29
201601,2.63
201602,3.97
201603,2.04
201604,2.38
201605,7.85
201606,5.18
201607,6.57
201608,3.79
201609,2.30
201610,1.94
201611,2.15
201612,5.46
