Park County, Wyoming, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.15
201002,0.68
201003,1.35
201004,2.35
201005,3.10
201006,3.29
201007,0.87
201008,1.80
201009,0.72
201010,1.40
201011,2.90
201012,2.65
201101,1.81
201102,1.50
201103,2.67
201104,3.87
201105,5.44
201106,1.91
201107,0.82
201108,1.15
201109,0.54
201110,2.94
201111,2.42
201112,1.86
201201,1.20
201202,1.85
201203,1.73
201204,1.93
201205,2.79
201206,0.66
201207,1.21
201208,0.35
201209,0.63
201210,1.59
201211,1.65
201212,2.82
201301,1.65
201302,0.90
201303,1.19
201304,2.15
201305,3.70
201306,0.90
201307,1.55
201308,0.87
201309,3.47
201310,2.28
201311,1.01
201312,2.16
201401,1.86
201402,3.67
201403,3.02
201404,2.97
201405,1.48
201406,2.66
201407,0.75
201408,3.18
201409,2.06
201410,1.04
201411,2.96
201412,2.26
201501,1.44
201502,1.54
201503,0.69
201504,1.73
201505,4.09
201506,1.61
201507,1.65
201508,1.16
201509,0.99
201510,2.11
201511,2.07
201512,2.17
201601,1.09
201602,1.16
201603,2.26
201604,2.39
201605,2.28
201606,0.76
201607,1.05
201608,0.79
201609,2.21
201610,4.32
201611,1.34
201612,3.68
