Uinta County, Wyoming, Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
201001,21.9
201002,21.2
201003,30.5
201004,35.9
201005,41.4
201006,55.4
201007,63.1
201008,60.8
201009,54.8
201010,43.8
201011,27.3
201012,23.1
201101,20.1
201102,18.8
201103,28.3
201104,34.2
201105,42.1
201106,53.2
201107,62.8
201108,63.0
201109,54.1
201110,42.8
201111,26.3
201112,19.2
201201,24.1
201202,21.2
201203,35.5
201204,41.6
201205,48.4
201206,58.1
201207,64.6
201208,64.3
201209,55.2
201210,41.4
201211,34.2
201212,19.5
201301,17.2
201302,20.2
201303,31.3
201304,34.6
201305,48.0
201306,59.4
201307,65.5
201308,62.9
201309,53.5
201310,39.2
201311,30.8
201312,18.5
201401,23.6
201402,25.1
201403,33.1
201404,37.9
201405,49.1
201406,54.7
201407,64.8
201408,59.0
201409,54.8
201410,45.6
201411,29.3
201412,24.6
201501,27.0
201502,30.4
201503,36.6
201504,39.4
201505,45.8
201506,60.9
201507,60.4
201508,61.0
201509,56.9
201510,47.0
201511,26.7
201512,18.4
201601,19.0
201602,27.1
201603,33.2
201604,40.3
201605,45.9
201606,60.7
201607,63.9
201608,60.8
201609,53.1
201610,44.6
201611,34.9
201612,18.1
