State Abbreviation,Name,Release Year,High school graduation raw value,Unemployment raw value,Some college raw value,Ratio of population to mental health providers,Median household income raw value,Average Temperature,Average Precipitation,RUCC,Poor mental health days raw value,Crude Rate,high_school_treated,unemployment_treated,college_treated,mental_health_provider_treated,household_income_treated,temperature_treated,precipitation_treated
AL,Autauga County,2011,0.74,0.089,0.5539999999999999,50354.0,51622.0,64.65833333333332,3.7691666666666666,2.0,4.1,21.7,0,0,0,0,1,0,0
AL,Baldwin County,2011,0.6809999999999999,0.088,0.615,6076.0,51957.0,67.73333333333333,3.720833333333333,3.0,4.1,18.2,0,0,1,0,1,0,0
AL,Calhoun County,2011,0.6890000000000001,0.1009999999999999,0.499,9452.0,39997.0,62.32500000000002,4.2316666666666665,3.0,4.8,14.4,0,0,0,0,0,0,0
AL,Cullman County,2011,0.684,0.094,0.46,20380.0,39276.0,61.33333333333334,5.3825,4.0,4.8,17.4,0,0,0,0,0,0,0
AL,Etowah County,2011,0.7020000000000001,0.105,0.561,10344.0,37264.0,62.1,4.965,3.0,4.4,24.0,0,0,0,0,0,0,0
AL,Houston County,2011,0.659,0.085,0.5429999999999999,4298.0,42523.0,66.94166666666668,3.2325,3.0,4.9,11.7,0,0,0,0,0,0,1
AL,Jackson County,2011,0.684,0.1169999999999999,0.412,17645.0,36597.0,60.26666666666666,5.861666666666667,6.0,4.8,18.8,0,0,0,0,0,0,0
AL,Jefferson County,2011,0.6629999999999999,0.098,0.632,1957.0,46269.0,62.9,4.639166666666667,1.0,3.5,12.9,0,0,1,1,0,0,0
AL,Lauderdale County,2011,0.6759999999999999,0.098,0.562,11150.0,38592.0,60.3,5.041666666666668,3.0,4.0,16.2,0,0,0,0,0,0,0
AL,Lee County,2011,0.6829999999999999,0.084,0.639,2560.0,41770.0,64.13333333333334,3.855,3.0,4.2,8.3,0,0,1,0,0,0,0
AL,Limestone County,2011,0.754,0.089,0.511,38157.0,46151.0,60.51666666666667,5.054166666666667,2.0,3.8,11.7,0,0,0,0,0,0,0
AL,Madison County,2011,0.753,0.072,0.6970000000000001,3820.0,55324.0,60.78333333333334,5.428333333333334,2.0,3.5,13.3,0,1,1,0,1,0,0
AL,Marshall County,2011,0.6509999999999999,0.092,0.4429999999999999,22300.0,36981.0,61.34166666666667,5.695833333333333,4.0,4.5,14.9,0,0,0,0,0,0,0
AL,Mobile County,2011,0.602,0.103,0.54,4447.0,40951.0,67.44999999999999,3.8191666666666655,2.0,4.5,16.9,0,0,0,0,0,0,0
AL,Montgomery County,2011,0.455,0.096,0.593,3939.0,43297.0,65.16666666666666,3.566666666666667,2.0,3.4,6.1,0,0,0,0,0,0,0
AL,Morgan County,2011,0.65,0.099,0.5429999999999999,6121.0,46284.0,60.99166666666667,5.152500000000002,3.0,3.9,16.7,0,0,0,0,0,0,0
AL,St. Clair County,2011,0.677,0.1,0.4539999999999999,80287.0,48804.0,62.4,4.848333333333334,1.0,4.0,23.7,0,0,0,0,1,0,0
AL,Shelby County,2011,0.8140000000000001,0.071,0.754,3927.0,71785.0,62.96666666666667,4.344166666666667,1.0,3.6,13.1,0,1,1,0,1,0,0
AL,Tuscaloosa County,2011,0.6579999999999999,0.091,0.626,1874.0,43744.0,63.65000000000001,4.336666666666667,3.0,4.2,12.2,0,0,1,1,0,0,0
AL,Walker County,2011,0.727,0.106,0.486,68903.0,36221.0,62.29166666666668,4.579166666666668,1.0,4.6,22.5,0,0,0,0,0,0,0
AK,Anchorage Borough,2011,0.736,0.066,0.687,2062.0,74396.0,31.758333333333336,6.564166666666666,2.0,3.0,14.2,0,1,1,1,1,1,0
AK,Fairbanks North Star Borough,2011,0.662,0.073,0.67,4276.0,65473.0,27.191666666666663,1.3674999999999995,3.0,2.9,17.3,0,1,1,0,1,1,1
AK,Kenai Peninsula Borough,2011,0.759,0.1009999999999999,0.539,4127.0,54206.0,32.19166666666667,5.244166666666668,7.0,3.1,28.4,0,0,0,0,1,1,0
AK,Matanuska-Susitna Borough,2011,0.6940000000000001,0.093,0.563,7756.0,71575.0,28.025,2.901666666666667,2.0,3.4,15.2,0,0,0,0,1,1,1
AZ,Apache County,2011,0.635,0.146,0.387,11587.0,31728.0,50.01666666666667,0.905,6.0,4.1,37.3,0,0,0,0,0,1,1
AZ,Cochise County,2011,0.775,0.074,0.652,8562.0,44000.0,61.8,0.9616666666666668,3.0,3.6,20.3,0,1,1,0,0,0,1
AZ,Coconino County,2011,0.769,0.077,0.637,1443.0,47933.0,52.52500000000001,0.8933333333333334,3.0,3.0,23.1,0,1,1,1,0,1,1
AZ,Gila County,2011,0.691,0.104,0.413,8712.0,38405.0,60.0,1.1941666666666668,4.0,4.9,18.7,0,0,0,0,0,0,1
AZ,Graham County,2011,0.7829999999999999,0.14,0.495,18102.0,40902.0,61.60833333333333,1.0375,7.0,4.5,27.0,0,0,0,0,0,0,1
AZ,Maricopa County,2011,0.787,0.083,0.588,3415.0,56511.0,70.79166666666667,0.4541666666666668,1.0,3.1,16.0,0,0,0,0,1,0,1
AZ,Mohave County,2011,0.66,0.104,0.457,17782.0,38641.0,61.875,0.7233333333333335,3.0,3.8,34.1,0,0,0,0,0,0,1
AZ,Navajo County,2011,0.534,0.141,0.478,10213.0,39416.0,51.6,0.7633333333333333,4.0,3.7,30.7,0,0,0,0,0,1,1
AZ,Pima County,2011,0.731,0.083,0.615,2153.0,46653.0,67.75833333333334,0.8316666666666667,2.0,3.3,18.0,0,0,1,0,0,0,1
AZ,Pinal County,2011,0.742,0.114,0.5539999999999999,18281.0,50208.0,69.05,0.7166666666666668,1.0,3.4,14.5,0,0,0,0,1,0,1
AZ,Yavapai County,2011,0.72,0.095,0.557,3257.0,42311.0,59.58333333333334,0.9533333333333336,3.0,4.1,30.8,0,0,0,0,0,0,1
AZ,Yuma County,2011,,0.213,0.4639999999999999,21478.0,39063.0,72.23333333333333,0.385,3.0,3.0,11.4,0,0,0,0,0,0,1
AR,Benton County,2011,0.753,0.059,0.546,43899.0,51397.0,58.81666666666666,4.468333333333334,2.0,2.8,14.9,0,1,0,0,1,0,0
AR,Craighead County,2011,0.848,0.065,0.552,5190.0,39989.0,60.75,5.201666666666667,3.0,3.7,12.2,1,1,0,0,0,0,0
AR,Crawford County,2011,0.826,0.073,0.449,29789.0,42112.0,61.18333333333334,4.5725,2.0,3.4,22.6,1,1,0,0,0,0,0
AR,Faulkner County,2011,0.823,0.064,0.625,26822.0,43553.0,62.0,5.445,2.0,3.3,12.9,1,1,1,0,0,0,0
AR,Garland County,2011,0.6940000000000001,0.071,0.501,10856.0,38020.0,62.05,5.0375000000000005,3.0,4.3,22.8,0,1,0,0,0,0,0
AR,Lonoke County,2011,0.732,0.0579999999999999,0.579,32617.0,49241.0,62.58333333333332,5.3166666666666655,2.0,3.5,18.7,0,1,0,0,1,0,0
AR,Pulaski County,2011,0.628,0.062,0.648,3074.0,45215.0,62.73333333333333,5.328333333333333,2.0,3.3,11.9,0,1,1,0,0,0,0
AR,Saline County,2011,0.809,0.061,0.57,16202.0,50133.0,62.41666666666666,5.284166666666667,2.0,4.1,13.6,0,1,0,0,1,0,0
AR,Sebastian County,2011,0.86,0.071,0.498,17491.0,39573.0,62.325,4.114166666666667,2.0,3.7,15.8,1,1,0,0,0,0,0
AR,Washington County,2011,0.8059999999999999,0.057,0.591,8964.0,42691.0,58.90000000000001,4.7,2.0,3.1,13.5,0,1,0,0,0,0,0
AR,White County,2011,0.785,0.076,0.471,37485.0,39283.0,61.66666666666666,5.124999999999999,4.0,2.9,14.1,0,1,0,0,0,0,0
CA,Alameda County,2011,0.7490000000000001,0.107,0.679,1072.0,70217.0,57.92500000000001,1.2108333333333334,1.0,3.3,8.9,0,0,1,1,1,0,1
CA,Amador County,2011,0.773,0.1169999999999999,0.514,1583.0,53951.0,56.13333333333333,2.7608333333333337,6.0,4.2,29.3,0,0,0,1,1,0,1
CA,Butte County,2011,0.815,0.125,0.648,3540.0,40308.0,58.175,3.2275000000000005,3.0,3.8,19.5,0,0,1,0,0,0,1
CA,Calaveras County,2011,0.8059999999999999,0.141,0.584,4694.0,52850.0,56.52500000000001,2.6758333333333333,6.0,3.0,39.9,0,0,0,0,1,0,1
CA,Contra Costa County,2011,0.737,0.103,0.6609999999999999,1689.0,78469.0,58.68333333333333,1.3075,1.0,3.9,11.3,0,0,1,1,1,0,1
CA,El Dorado County,2011,0.826,0.113,0.6779999999999999,2241.0,67019.0,52.35833333333333,3.4725,1.0,2.6,20.5,1,0,1,0,1,1,1
CA,Fresno County,2011,0.629,0.151,0.501,2981.0,43534.0,54.29166666666666,1.468333333333333,2.0,3.6,9.3,0,0,0,0,0,1,1
CA,Humboldt County,2011,0.732,0.11,0.657,2997.0,39627.0,53.01666666666666,4.264166666666667,5.0,4.3,22.2,0,0,1,0,0,1,0
CA,Imperial County,2011,0.737,0.282,0.4479999999999999,12546.0,36894.0,73.28333333333333,0.2108333333333333,3.0,4.0,9.6,0,0,0,0,0,0,1
CA,Kern County,2011,0.581,0.144,0.414,4890.0,44716.0,60.70833333333334,0.5591666666666666,2.0,4.5,11.9,0,0,0,0,0,0,1
