Bristol Bay Borough, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.50
201002,0.46
201003,0.43
201004,1.14
201005,0.73
201006,1.16
201007,3.55
201008,4.49
201009,1.09
201010,1.78
201011,0.91
201012,1.13
201101,1.29
201102,0.68
201103,0.12
201104,1.12
201105,1.84
201106,2.85
201107,2.30
201108,4.17
201109,2.33
201110,3.23
201111,2.66
201112,1.68
201201,1.08
201202,1.11
201203,1.30
201204,0.55
201205,1.62
201206,2.47
201207,4.70
201208,2.79
201209,4.60
201210,1.81
201211,1.55
201212,2.02
201301,2.38
201302,1.88
201303,1.48
201304,0.19
201305,0.36
201306,1.09
201307,1.44
201308,5.45
201309,2.21
201310,4.72
201311,2.66
201312,1.14
201401,1.79
201402,0.08
201403,0.79
201404,0.52
201405,2.19
201406,3.24
201407,2.43
201408,3.63
201409,3.36
201410,0.41
201411,2.38
201412,1.98
201501,0.51
201502,0.28
201503,0.97
201504,2.15
201505,3.25
201506,0.87
201507,3.12
201508,1.83
201509,3.65
201510,1.67
201511,4.76
201512,1.79
201601,0.49
201602,0.98
201603,2.00
201604,0.85
201605,3.12
201606,2.31
201607,3.55
201608,4.98
201609,4.91
201610,1.15
201611,1.01
201612,0.88
