Dillingham Census Area, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.02
201002,0.81
201003,0.86
201004,2.17
201005,1.62
201006,2.76
201007,6.00
201008,5.90
201009,2.81
201010,2.23
201011,3.88
201012,1.91
201101,2.19
201102,1.99
201103,0.35
201104,2.38
201105,2.08
201106,4.91
201107,3.67
201108,6.11
201109,2.81
201110,3.23
201111,4.90
201112,2.55
201201,1.31
201202,2.18
201203,2.31
201204,0.94
201205,2.45
201206,4.78
201207,5.47
201208,4.53
201209,7.46
201210,2.16
201211,2.51
201212,2.42
201301,3.86
201302,2.63
201303,2.28
201304,0.23
201305,0.86
201306,2.65
201307,2.88
201308,6.03
201309,4.11
201310,6.20
201311,5.89
201312,2.21
201401,3.33
201402,0.44
201403,1.46
201404,0.81
201405,4.54
201406,4.97
201407,3.49
201408,4.29
201409,3.67
201410,1.37
201411,3.74
201412,2.84
201501,0.90
201502,0.72
201503,1.71
201504,3.28
201505,5.29
201506,1.43
201507,3.63
201508,3.18
201509,8.74
201510,2.04
201511,7.39
201512,1.85
201601,0.68
201602,1.25
201603,3.57
201604,1.53
201605,5.28
201606,4.13
201607,4.64
201608,6.41
201609,6.88
201610,1.23
201611,2.15
201612,1.12
