North Slope Borough, Alaska, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.34
201002,0.30
201003,0.38
201004,0.43
201005,0.52
201006,0.70
201007,3.03
201008,1.62
201009,0.71
201010,0.78
201011,1.56
201012,0.45
201101,0.48
201102,1.01
201103,0.14
201104,0.24
201105,0.39
201106,1.04
201107,2.39
201108,1.77
201109,1.53
201110,0.91
201111,0.64
201112,0.97
201201,0.51
201202,0.51
201203,0.18
201204,0.24
201205,0.55
201206,0.58
201207,2.35
201208,3.21
201209,2.32
201210,1.12
201211,0.65
201212,0.33
201301,0.64
201302,0.32
201303,0.32
201304,0.54
201305,0.46
201306,1.16
201307,2.83
201308,1.64
201309,1.72
201310,1.17
201311,1.28
201312,0.66
201401,0.64
201402,0.27
201403,0.17
201404,0.25
201405,1.27
201406,1.93
201407,3.31
201408,1.51
201409,1.33
201410,0.96
201411,0.61
201412,0.69
201501,0.48
201502,0.46
201503,0.36
201504,0.40
201505,1.12
201506,0.95
201507,1.12
201508,2.99
201509,1.08
201510,0.54
201511,0.87
201512,0.07
201601,0.38
201602,0.26
201603,0.30
201604,0.32
201605,0.47
201606,2.16
201607,1.93
201608,2.15
201609,2.04
201610,0.30
201611,0.62
201612,0.24
