Crenshaw County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,8.33
201002,3.55
201003,5.66
201004,1.30
201005,5.34
201006,3.80
201007,2.97
201008,5.18
201009,2.78
201010,1.90
201011,4.26
201012,2.22
201101,3.90
201102,4.92
201103,6.66
201104,2.10
201105,1.19
201106,3.58
201107,4.85
201108,1.38
201109,4.76
201110,1.02
201111,3.56
201112,5.22
201201,3.73
201202,5.51
201203,4.44
201204,2.11
201205,4.88
201206,5.10
201207,5.79
201208,4.85
201209,6.57
201210,1.82
201211,1.27
201212,5.99
201301,3.54
201302,11.41
201303,2.61
201304,4.30
201305,1.86
201306,7.86
201307,9.50
201308,5.76
201309,3.08
201310,0.59
201311,2.17
201312,7.56
201401,2.92
201402,5.85
201403,6.30
201404,10.46
201405,6.83
201406,4.79
201407,3.44
201408,2.93
201409,3.44
201410,2.78
201411,2.37
201412,6.86
201501,3.54
201502,3.88
201503,2.70
201504,7.26
201505,4.51
201506,3.13
201507,4.26
201508,3.41
201509,4.63
201510,2.22
201511,8.33
201512,16.12
201601,5.56
201602,4.46
201603,5.37
201604,6.80
201605,2.01
201606,4.48
201607,4.13
201608,4.36
201609,1.83
201610,0.03
201611,1.91
201612,5.75
