Tallapoosa County, Alabama, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.72
201002,4.05
201003,5.38
201004,2.43
201005,4.66
201006,3.37
201007,1.94
201008,4.37
201009,2.07
201010,2.94
201011,3.80
201012,2.57
201101,2.44
201102,4.96
201103,8.85
201104,3.50
201105,1.34
201106,2.94
201107,6.15
201108,1.21
201109,5.00
201110,1.38
201111,4.13
201112,5.28
201201,5.50
201202,4.51
201203,4.97
201204,1.33
201205,5.63
201206,2.37
201207,3.96
201208,4.65
201209,2.61
201210,2.22
201211,0.97
201212,7.76
201301,4.32
201302,9.35
201303,3.97
201304,4.92
201305,4.53
201306,4.94
201307,8.49
201308,5.00
201309,2.44
201310,1.52
201311,2.56
201312,10.04
201401,3.44
201402,5.44
201403,6.46
201404,8.46
201405,4.86
201406,5.13
201407,3.12
201408,2.38
201409,3.01
201410,3.03
201411,2.56
201412,6.14
201501,3.67
201502,4.92
201503,3.75
201504,6.25
201505,3.94
201506,3.50
201507,3.70
201508,5.19
201509,2.71
201510,2.26
201511,5.70
201512,14.10
201601,4.31
201602,5.59
201603,3.35
201604,8.23
201605,1.65
201606,2.47
201607,3.08
201608,5.89
201609,0.75
201610,0.11
201611,2.55
201612,4.40
