Ashley County, Arkansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.22
201002,2.84
201003,1.76
201004,3.41
201005,3.08
201006,2.66
201007,4.19
201008,2.31
201009,0.60
201010,2.10
201011,5.00
201012,0.81
201101,3.66
201102,2.59
201103,1.34
201104,5.53
201105,2.06
201106,1.29
201107,4.25
201108,2.58
201109,3.94
201110,1.89
201111,4.60
201112,9.82
201201,1.97
201202,3.67
201203,6.52
201204,4.33
201205,0.81
201206,2.91
201207,4.09
201208,5.68
201209,3.88
201210,4.95
201211,2.26
201212,5.29
201301,10.21
201302,4.37
201303,3.76
201304,6.26
201305,4.12
201306,4.07
201307,2.32
201308,1.51
201309,4.22
201310,6.47
201311,5.98
201312,5.00
201401,1.62
201402,3.33
201403,5.64
201404,7.42
201405,5.92
201406,4.52
201407,4.59
201408,4.42
201409,1.85
201410,5.69
201411,2.92
201412,3.41
201501,5.82
201502,5.16
201503,7.06
201504,5.36
201505,5.65
201506,2.72
201507,4.04
201508,1.31
201509,0.66
201510,5.21
201511,10.19
201512,5.30
201601,3.51
201602,3.11
201603,19.93
201604,5.68
201605,3.48
201606,5.90
201607,5.02
201608,7.19
201609,0.96
201610,0.35
201611,3.83
201612,4.56
