Sonoma County, California, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,14.86
201002,6.41
201003,4.32
201004,6.90
201005,2.58
201006,0.08
201007,0.01
201008,0.01
201009,0.11
201010,5.43
201011,4.18
201012,12.04
201101,2.40
201102,6.78
201103,13.06
201104,0.71
201105,2.61
201106,1.38
201107,0.02
201108,0.00
201109,0.01
201110,2.46
201111,3.14
201112,0.28
201201,8.08
201202,2.30
201203,10.39
201204,2.90
201205,0.24
201206,0.04
201207,0.01
201208,0.00
201209,0.00
201210,2.00
201211,10.85
201212,14.22
201301,1.22
201302,0.56
201303,2.33
201304,1.67
201305,0.29
201306,1.21
201307,0.02
201308,0.01
201309,0.69
201310,0.00
201311,1.51
201312,0.61
201401,0.25
201402,12.65
201403,5.42
201404,1.84
201405,0.05
201406,0.00
201407,0.02
201408,0.08
201409,0.89
201410,1.05
201411,4.16
201412,17.78
201501,0.19
201502,5.47
201503,0.28
201504,2.07
201505,0.18
201506,0.18
201507,0.08
201508,0.06
201509,0.62
201510,0.18
201511,2.01
201512,10.11
201601,12.73
201602,1.33
201603,12.23
201604,1.57
201605,0.39
201606,0.15
201607,0.00
201608,0.01
201609,0.00
201610,8.13
201611,5.10
201612,7.92
