New London County, Connecticut, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.71
201002,4.88
201003,13.51
201004,1.74
201005,3.35
201006,3.11
201007,3.88
201008,2.89
201009,3.61
201010,3.48
201011,3.07
201012,3.72
201101,3.38
201102,3.87
201103,2.94
201104,4.92
201105,4.86
201106,4.84
201107,2.71
201108,9.42
201109,5.89
201110,5.42
201111,3.92
201112,3.93
201201,2.93
201202,1.02
201203,1.15
201204,3.09
201205,4.59
201206,4.09
201207,3.49
201208,2.94
201209,5.19
201210,3.53
201211,0.68
201212,4.68
201301,1.34
201302,3.08
201303,1.90
201304,1.40
201305,2.63
201306,9.91
201307,2.50
201308,3.07
201309,2.40
201310,0.85
201311,3.28
201312,3.74
201401,2.17
201402,2.68
201403,4.97
201404,4.21
201405,3.88
201406,2.16
201407,3.15
201408,2.67
201409,0.97
201410,3.89
201411,4.74
201412,5.01
201501,2.77
201502,1.62
201503,3.21
201504,1.94
201505,0.88
201506,4.96
201507,2.04
201508,1.96
201509,3.92
201510,3.63
201511,2.19
201512,4.43
201601,2.20
201602,4.14
201603,2.22
201604,3.33
201605,3.76
201606,1.38
201607,2.17
201608,3.15
201609,2.56
201610,6.44
201611,3.13
201612,3.64
