St. Lucie County, Florida, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.18
201002,2.97
201003,8.38
201004,3.37
201005,2.64
201006,7.35
201007,4.08
201008,5.19
201009,5.62
201010,0.37
201011,1.66
201012,0.56
201101,3.03
201102,0.38
201103,3.17
201104,1.48
201105,1.05
201106,4.04
201107,3.90
201108,8.42
201109,5.56
201110,13.17
201111,1.50
201112,3.49
201201,0.06
201202,1.41
201203,2.18
201204,2.57
201205,4.96
201206,5.68
201207,3.00
201208,12.76
201209,6.06
201210,5.56
201211,1.64
201212,3.13
201301,1.84
201302,1.45
201303,1.01
201304,3.76
201305,6.47
201306,5.99
201307,10.13
201308,3.47
201309,6.44
201310,0.73
201311,4.16
201312,2.87
201401,6.02
201402,2.27
201403,1.70
201404,1.96
201405,2.41
201406,7.69
201407,6.57
201408,5.50
201409,9.97
201410,2.46
201411,1.80
201412,1.69
201501,1.37
201502,2.44
201503,2.68
201504,4.31
201505,1.26
201506,3.93
201507,5.06
201508,5.68
201509,9.36
201510,2.08
201511,3.90
201512,5.40
201601,9.64
201602,3.12
201603,3.98
201604,2.07
201605,12.75
201606,5.98
201607,1.58
201608,8.34
201609,5.87
201610,4.81
201611,0.59
201612,1.25
