Wakulla County, Florida, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,8.15
201002,4.48
201003,4.25
201004,3.09
201005,3.56
201006,6.20
201007,7.52
201008,8.30
201009,2.49
201010,0.70
201011,3.38
201012,1.53
201101,4.82
201102,2.59
201103,3.28
201104,2.16
201105,0.59
201106,3.32
201107,5.42
201108,2.20
201109,4.52
201110,1.99
201111,1.00
201112,3.78
201201,2.80
201202,3.00
201203,3.47
201204,2.21
201205,3.59
201206,11.95
201207,5.39
201208,10.98
201209,7.14
201210,1.55
201211,0.35
201212,3.05
201301,0.90
201302,10.96
201303,3.87
201304,4.51
201305,1.52
201306,5.71
201307,14.91
201308,8.04
201309,4.17
201310,1.24
201311,4.27
201312,4.56
201401,4.01
201402,4.40
201403,8.89
201404,12.07
201405,1.84
201406,3.77
201407,2.99
201408,2.58
201409,7.41
201410,4.96
201411,6.14
201412,7.26
201501,4.77
201502,4.14
201503,2.55
201504,4.67
201505,2.00
201506,5.77
201507,5.84
201508,5.73
201509,3.20
201510,0.85
201511,7.74
201512,4.10
201601,4.37
201602,3.78
201603,5.90
201604,7.15
201605,1.84
201606,7.04
201607,6.71
201608,7.40
201609,8.28
201610,0.37
201611,0.35
201612,4.04
