Brooks County, Georgia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.40
201002,3.56
201003,3.76
201004,2.38
201005,5.54
201006,4.75
201007,4.80
201008,6.71
201009,2.34
201010,0.39
201011,1.65
201012,2.47
201101,4.23
201102,3.14
201103,4.68
201104,2.84
201105,0.75
201106,3.72
201107,6.00
201108,2.71
201109,3.31
201110,4.19
201111,1.92
201112,2.55
201201,2.61
201202,3.68
201203,5.31
201204,1.19
201205,3.34
201206,9.22
201207,4.99
201208,7.17
201209,4.53
201210,1.60
201211,0.48
201212,4.10
201301,1.36
201302,11.46
201303,4.10
201304,5.19
201305,2.06
201306,6.77
201307,12.19
201308,10.30
201309,2.10
201310,0.93
201311,3.59
201312,4.06
201401,4.01
201402,3.76
201403,7.58
201404,9.07
201405,5.45
201406,3.84
201407,3.90
201408,3.39
201409,6.49
201410,2.27
201411,5.52
201412,7.30
201501,4.87
201502,4.87
201503,2.93
201504,5.25
201505,1.50
201506,5.32
201507,5.85
201508,6.06
201509,2.88
201510,2.42
201511,4.55
201512,3.56
201601,4.44
201602,5.14
201603,6.38
201604,5.99
201605,2.10
201606,6.65
201607,4.86
201608,4.62
201609,8.11
201610,0.90
201611,0.25
201612,5.41
