Camden County, Georgia, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.89
201002,2.82
201003,2.35
201004,1.09
201005,2.35
201006,4.69
201007,3.64
201008,7.03
201009,3.07
201010,0.34
201011,0.94
201012,1.09
201101,3.79
201102,3.01
201103,2.77
201104,2.28
201105,0.99
201106,4.32
201107,6.33
201108,3.73
201109,5.19
201110,4.19
201111,1.90
201112,1.65
201201,0.61
201202,2.73
201203,3.96
201204,1.56
201205,10.13
201206,13.50
201207,2.10
201208,8.38
201209,3.77
201210,2.62
201211,0.38
201212,2.10
201301,0.85
201302,4.84
201303,3.08
201304,3.74
201305,5.15
201306,7.38
201307,8.16
201308,8.39
201309,6.10
201310,1.12
201311,3.46
201312,2.10
201401,6.05
201402,2.34
201403,4.31
201404,7.60
201405,3.34
201406,4.51
201407,5.19
201408,5.77
201409,9.89
201410,1.69
201411,4.57
201412,3.51
201501,3.64
201502,3.87
201503,2.52
201504,3.53
201505,1.46
201506,5.02
201507,9.20
201508,10.30
201509,7.35
201510,2.28
201511,4.11
201512,1.37
201601,3.26
201602,4.58
201603,1.83
201604,2.84
201605,2.80
201606,4.97
201607,3.42
201608,4.01
201609,6.18
201610,6.84
201611,0.04
201612,2.96
