Mahaska County, Iowa, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.51
201002,1.23
201003,1.86
201004,4.11
201005,5.14
201006,11.89
201007,8.87
201008,9.61
201009,6.39
201010,0.59
201011,1.57
201012,0.68
201101,0.78
201102,1.69
201103,1.60
201104,3.95
201105,5.55
201106,9.63
201107,1.57
201108,1.87
201109,1.65
201110,1.07
201111,3.46
201112,2.63
201201,0.46
201202,2.11
201203,2.80
201204,3.99
201205,2.36
201206,2.60
201207,0.80
201208,4.46
201209,0.69
201210,3.79
201211,1.62
201212,1.74
201301,1.28
201302,1.95
201303,2.45
201304,7.88
201305,8.59
201306,3.29
201307,1.17
201308,0.90
201309,1.71
201310,2.71
201311,2.16
201312,0.66
201401,0.30
201402,2.68
201403,0.80
201404,4.89
201405,2.87
201406,8.10
201407,5.83
201408,5.54
201409,5.47
201410,4.30
201411,1.20
201412,0.88
201501,0.57
201502,1.33
201503,0.30
201504,3.13
201505,4.34
201506,6.56
201507,8.26
201508,2.73
201509,4.50
201510,2.08
201511,4.58
201512,5.49
201601,0.52
201602,0.81
201603,1.41
201604,2.71
201605,3.21
201606,1.73
201607,7.50
201608,5.80
201609,3.05
201610,1.73
201611,1.09
201612,1.21
