Power County, Idaho, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.54
201002,0.96
201003,0.85
201004,2.26
201005,2.00
201006,1.14
201007,0.29
201008,0.72
201009,0.30
201010,1.56
201011,2.66
201012,3.19
201101,1.48
201102,0.79
201103,2.84
201104,1.66
201105,3.37
201106,0.98
201107,0.47
201108,0.87
201109,0.46
201110,2.47
201111,1.20
201112,0.39
201201,2.97
201202,0.80
201203,1.31
201204,1.12
201205,1.34
201206,0.21
201207,1.02
201208,0.17
201209,0.68
201210,1.24
201211,1.43
201212,3.16
201301,1.05
201302,0.70
201303,0.95
201304,0.79
201305,1.18
201306,0.29
201307,0.83
201308,0.94
201309,1.60
201310,1.04
201311,0.51
201312,0.58
201401,1.14
201402,1.96
201403,2.74
201404,1.76
201405,0.91
201406,0.65
201407,0.31
201408,3.25
201409,1.67
201410,0.16
201411,2.01
201412,1.82
201501,1.13
201502,0.94
201503,0.35
201504,0.75
201505,4.64
201506,0.43
201507,1.25
201508,1.06
201509,1.15
201510,1.48
201511,1.56
201512,1.84
201601,2.39
201602,0.68
201603,3.45
201604,1.78
201605,2.29
201606,0.15
201607,0.19
201608,0.08
201609,2.78
201610,3.56
201611,0.76
201612,3.49
