Ford County, Illinois, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.08
201002,1.45
201003,2.85
201004,2.41
201005,4.93
201006,8.41
201007,2.38
201008,2.13
201009,4.04
201010,1.41
201011,2.44
201012,2.22
201101,1.05
201102,2.80
201103,2.07
201104,6.81
201105,4.85
201106,4.03
201107,2.14
201108,1.89
201109,3.71
201110,1.78
201111,3.55
201112,2.89
201201,2.02
201202,1.15
201203,1.33
201204,2.52
201205,2.92
201206,2.34
201207,0.91
201208,4.83
201209,4.26
201210,5.00
201211,0.86
201212,1.96
201301,2.92
201302,2.34
201303,1.40
201304,6.19
201305,5.04
201306,4.24
201307,2.04
201308,1.17
201309,1.48
201310,3.55
201311,1.72
201312,1.35
201401,1.62
201402,2.29
201403,1.45
201404,3.52
201405,4.17
201406,6.86
201407,5.12
201408,4.43
201409,4.37
201410,3.70
201411,1.97
201412,1.21
201501,1.45
201502,1.14
201503,1.29
201504,2.40
201505,5.42
201506,9.82
201507,5.81
201508,3.15
201509,4.38
201510,1.13
201511,4.47
201512,6.29
201601,0.79
201602,1.10
201603,3.44
201604,2.68
201605,4.17
201606,4.68
201607,6.88
201608,8.46
201609,3.43
201610,1.96
201611,3.15
201612,1.08
