Morgan County, Illinois, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.80
201002,2.08
201003,2.41
201004,4.60
201005,6.62
201006,8.64
201007,8.80
201008,3.56
201009,4.82
201010,1.43
201011,1.90
201012,1.50
201101,1.80
201102,3.09
201103,2.08
201104,4.84
201105,4.40
201106,10.85
201107,1.75
201108,0.36
201109,1.87
201110,0.95
201111,4.13
201112,2.99
201201,1.02
201202,1.34
201203,2.60
201204,4.59
201205,2.12
201206,1.51
201207,0.62
201208,2.03
201209,6.16
201210,5.79
201211,1.37
201212,2.15
201301,3.72
201302,2.96
201303,3.11
201304,5.84
201305,10.20
201306,4.17
201307,4.23
201308,0.28
201309,2.83
201310,2.84
201311,2.35
201312,1.32
201401,1.46
201402,2.14
201403,1.46
201404,4.16
201405,3.21
201406,8.66
201407,2.35
201408,5.21
201409,5.98
201410,4.63
201411,1.54
201412,1.36
201501,0.90
201502,1.50
201503,1.82
201504,2.38
201505,5.95
201506,10.33
201507,7.75
201508,2.45
201509,1.97
201510,1.28
201511,5.10
201512,7.35
201601,0.82
201602,0.68
201603,2.97
201604,2.44
201605,3.42
201606,1.25
201607,9.05
201608,5.02
201609,2.57
201610,0.92
201611,2.24
201612,1.03
