Jay County, Indiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.09
201002,1.52
201003,4.15
201004,2.12
201005,5.97
201006,8.24
201007,3.74
201008,3.67
201009,0.95
201010,1.52
201011,5.67
201012,0.92
201101,1.41
201102,5.26
201103,3.87
201104,6.89
201105,6.05
201106,3.60
201107,1.35
201108,3.41
201109,5.17
201110,3.55
201111,5.87
201112,4.58
201201,3.20
201202,1.69
201203,2.77
201204,1.03
201205,3.64
201206,0.78
201207,2.81
201208,5.14
201209,6.10
201210,4.65
201211,0.87
201212,3.06
201301,4.69
201302,1.66
201303,2.31
201304,6.71
201305,3.00
201306,4.81
201307,3.24
201308,1.60
201309,3.60
201310,2.48
201311,3.24
201312,4.66
201401,2.22
201402,2.55
201403,1.55
201404,5.86
201405,3.18
201406,6.93
201407,2.27
201408,5.60
201409,3.70
201410,2.44
201411,2.89
201412,2.10
201501,2.26
201502,1.18
201503,3.03
201504,3.82
201505,4.85
201506,12.17
201507,7.55
201508,2.71
201509,2.20
201510,1.83
201511,2.91
201512,5.40
201601,1.49
201602,2.52
201603,5.69
201604,2.87
201605,3.18
201606,3.41
201607,2.53
201608,6.46
201609,2.80
201610,3.00
201611,2.09
201612,1.47
