Randolph County, Indiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.43
201002,1.61
201003,4.12
201004,2.28
201005,5.24
201006,8.18
201007,3.15
201008,3.05
201009,1.11
201010,1.59
201011,5.48
201012,0.98
201101,1.24
201102,5.54
201103,4.26
201104,7.98
201105,6.17
201106,4.45
201107,1.65
201108,3.11
201109,4.93
201110,3.41
201111,6.25
201112,4.73
201201,2.97
201202,1.41
201203,2.86
201204,1.16
201205,4.12
201206,0.96
201207,2.41
201208,4.14
201209,6.51
201210,4.31
201211,0.91
201212,3.48
201301,4.33
201302,1.65
201303,2.31
201304,5.84
201305,2.63
201306,5.50
201307,2.40
201308,1.61
201309,3.63
201310,3.05
201311,2.96
201312,5.19
201401,2.19
201402,2.46
201403,1.79
201404,6.49
201405,3.47
201406,7.21
201407,2.71
201408,5.79
201409,2.44
201410,2.40
201411,2.68
201412,2.22
201501,2.38
201502,1.14
201503,3.37
201504,4.06
201505,5.05
201506,10.33
201507,5.70
201508,2.45
201509,2.77
201510,2.36
201511,3.01
201512,5.56
201601,1.25
201602,2.85
201603,5.61
201604,3.17
201605,3.37
201606,3.37
201607,3.09
201608,7.13
201609,2.61
201610,3.20
201611,1.72
201612,1.82
