Harvey County, Kansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.56
201002,1.18
201003,1.76
201004,1.98
201005,4.48
201006,6.54
201007,6.04
201008,3.70
201009,3.44
201010,0.72
201011,1.94
201012,0.07
201101,0.45
201102,1.54
201103,0.89
201104,0.74
201105,2.84
201106,2.34
201107,0.66
201108,2.67
201109,1.45
201110,1.72
201111,2.89
201112,3.43
201201,0.05
201202,3.29
201203,2.96
201204,2.44
201205,2.54
201206,3.32
201207,0.61
201208,3.08
201209,2.88
201210,1.09
201211,0.85
201212,0.29
201301,0.54
201302,2.04
201303,1.77
201304,3.15
201305,5.96
201306,2.56
201307,8.51
201308,10.26
201309,1.79
201310,3.79
201311,0.90
201312,0.60
201401,0.23
201402,0.96
201403,0.47
201404,0.73
201405,3.51
201406,8.89
201407,2.59
201408,2.78
201409,3.45
201410,2.40
201411,0.28
201412,1.55
201501,0.20
201502,0.97
201503,0.61
201504,3.87
201505,9.55
201506,4.49
201507,4.77
201508,3.88
201509,2.04
201510,0.99
201511,4.48
201512,3.45
201601,0.33
201602,0.57
201603,1.18
201604,4.15
201605,6.76
201606,3.12
201607,6.54
201608,8.13
201609,6.66
201610,1.30
201611,0.26
201612,0.76
