Republic County, Kansas, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.20
201002,0.64
201003,3.08
201004,3.77
201005,3.65
201006,7.50
201007,2.86
201008,3.11
201009,3.91
201010,0.15
201011,2.20
201012,0.05
201101,0.71
201102,0.73
201103,0.64
201104,2.03
201105,6.29
201106,4.09
201107,4.97
201108,4.90
201109,0.70
201110,0.46
201111,1.44
201112,1.50
201201,0.25
201202,2.10
201203,1.33
201204,4.42
201205,0.43
201206,4.84
201207,2.43
201208,2.60
201209,1.40
201210,1.86
201211,0.26
201212,0.84
201301,0.85
201302,0.66
201303,0.88
201304,3.29
201305,5.13
201306,1.91
201307,3.59
201308,4.05
201309,2.24
201310,2.68
201311,1.45
201312,0.24
201401,0.22
201402,0.62
201403,0.14
201404,1.69
201405,1.49
201406,6.23
201407,2.24
201408,5.42
201409,2.66
201410,3.04
201411,0.09
201412,0.59
201501,0.27
201502,1.01
201503,0.53
201504,2.93
201505,6.19
201506,6.42
201507,4.44
201508,3.27
201509,1.09
201510,1.11
201511,2.03
201512,2.42
201601,0.97
201602,0.55
201603,0.58
201604,4.33
201605,7.75
201606,0.77
201607,4.55
201608,6.00
201609,2.23
201610,1.29
201611,0.79
201612,1.11
