Green County, Kentucky, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.70
201002,2.70
201003,1.98
201004,2.90
201005,10.17
201006,3.65
201007,4.61
201008,3.44
201009,2.64
201010,1.48
201011,5.62
201012,3.80
201101,2.09
201102,6.48
201103,4.46
201104,11.84
201105,6.85
201106,3.79
201107,3.56
201108,1.40
201109,8.22
201110,1.89
201111,8.29
201112,4.10
201201,4.14
201202,3.11
201203,3.83
201204,2.51
201205,4.32
201206,1.06
201207,5.08
201208,3.26
201209,5.58
201210,2.42
201211,1.52
201212,5.85
201301,5.71
201302,1.80
201303,5.61
201304,5.60
201305,5.12
201306,5.57
201307,9.33
201308,3.97
201309,4.54
201310,3.21
201311,3.53
201312,6.00
201401,2.37
201402,5.21
201403,4.23
201404,4.83
201405,4.98
201406,2.54
201407,2.69
201408,7.57
201409,1.65
201410,6.64
201411,2.94
201412,3.01
201501,1.99
201502,3.99
201503,6.56
201504,8.53
201505,2.41
201506,5.86
201507,10.25
201508,2.31
201509,3.26
201510,4.40
201511,4.05
201512,7.05
201601,1.93
201602,5.19
201603,3.31
201604,4.85
201605,6.51
201606,3.03
201607,6.74
201608,4.53
201609,2.84
201610,1.23
201611,1.15
201612,6.39
