McLean County, Kentucky, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.62
201002,1.46
201003,3.43
201004,3.71
201005,5.12
201006,2.71
201007,2.25
201008,0.73
201009,0.39
201010,1.63
201011,6.02
201012,1.71
201101,1.41
201102,4.84
201103,4.88
201104,12.01
201105,7.01
201106,4.85
201107,2.46
201108,1.64
201109,5.16
201110,1.86
201111,8.53
201112,5.47
201201,3.03
201202,1.44
201203,1.96
201204,0.89
201205,4.40
201206,1.21
201207,4.26
201208,4.28
201209,5.74
201210,2.92
201211,1.21
201212,5.90
201301,5.43
201302,3.26
201303,6.00
201304,4.27
201305,4.62
201306,7.04
201307,5.10
201308,1.70
201309,3.57
201310,5.84
201311,2.62
201312,4.79
201401,2.09
201402,3.36
201403,3.55
201404,6.84
201405,3.79
201406,4.27
201407,1.91
201408,5.81
201409,0.82
201410,3.34
201411,2.06
201412,3.84
201501,1.98
201502,3.91
201503,6.12
201504,6.15
201505,3.22
201506,5.51
201507,9.15
201508,3.17
201509,1.56
201510,5.52
201511,4.89
201512,6.64
201601,2.09
201602,4.13
201603,5.10
201604,4.62
201605,4.25
201606,3.24
201607,11.66
201608,4.45
201609,2.54
201610,0.77
201611,2.37
201612,6.67
