Morgan County, Kentucky, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.41
201002,2.91
201003,2.23
201004,2.68
201005,7.08
201006,4.92
201007,5.62
201008,2.53
201009,2.05
201010,1.96
201011,3.62
201012,4.09
201101,1.98
201102,3.40
201103,5.75
201104,10.59
201105,5.98
201106,3.13
201107,7.34
201108,3.00
201109,4.79
201110,4.24
201111,6.20
201112,3.38
201201,3.38
201202,2.58
201203,4.98
201204,2.51
201205,4.84
201206,1.43
201207,9.57
201208,2.01
201209,6.92
201210,3.11
201211,1.19
201212,5.23
201301,4.72
201302,1.78
201303,4.04
201304,2.97
201305,3.80
201306,6.73
201307,6.44
201308,4.43
201309,3.64
201310,2.45
201311,3.61
201312,5.98
201401,2.20
201402,5.38
201403,4.00
201404,5.12
201405,3.18
201406,4.63
201407,4.81
201408,5.48
201409,3.72
201410,5.43
201411,2.28
201412,3.07
201501,1.78
201502,2.54
201503,6.07
201504,9.74
201505,1.96
201506,5.18
201507,10.57
201508,4.46
201509,2.76
201510,2.70
201511,1.90
201512,5.40
201601,2.18
201602,5.36
201603,2.47
201604,3.68
201605,6.95
201606,3.82
201607,6.36
201608,4.60
201609,1.59
201610,1.10
201611,2.01
201612,5.19
