Assumption Parish, Louisiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.50
201002,6.10
201003,1.94
201004,0.69
201005,3.85
201006,6.52
201007,6.24
201008,10.40
201009,1.85
201010,1.52
201011,4.92
201012,2.56
201101,3.49
201102,1.61
201103,4.16
201104,0.64
201105,0.26
201106,4.47
201107,9.61
201108,2.73
201109,11.36
201110,0.44
201111,2.20
201112,2.36
201201,2.49
201202,4.51
201203,6.27
201204,5.03
201205,2.46
201206,8.06
201207,8.92
201208,15.66
201209,5.22
201210,0.91
201211,2.15
201212,3.56
201301,13.73
201302,7.73
201303,0.64
201304,6.74
201305,8.23
201306,4.17
201307,6.86
201308,5.16
201309,4.64
201310,2.85
201311,2.33
201312,3.27
201401,2.58
201402,6.80
201403,3.76
201404,3.96
201405,13.64
201406,7.15
201407,6.49
201408,4.71
201409,6.63
201410,2.86
201411,1.81
201412,5.32
201501,4.63
201502,2.46
201503,3.78
201504,12.81
201505,7.11
201506,7.78
201507,3.27
201508,3.83
201509,4.32
201510,8.16
201511,10.09
201512,5.91
201601,4.81
201602,4.37
201603,9.04
201604,5.32
201605,7.10
201606,7.19
201607,6.70
201608,18.73
201609,4.90
201610,0.19
201611,1.21
201612,5.52
