Evangeline Parish, Louisiana, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,3.61
201002,6.29
201003,2.08
201004,0.74
201005,2.33
201006,4.39
201007,6.07
201008,4.62
201009,1.13
201010,1.07
201011,5.61
201012,3.85
201101,4.68
201102,1.67
201103,3.73
201104,1.85
201105,1.77
201106,3.54
201107,5.04
201108,1.21
201109,8.01
201110,0.73
201111,4.26
201112,5.94
201201,7.90
201202,10.66
201203,8.07
201204,4.05
201205,1.18
201206,4.19
201207,6.25
201208,5.94
201209,4.37
201210,1.51
201211,1.37
201212,6.78
201301,15.36
201302,6.71
201303,1.84
201304,6.40
201305,6.90
201306,3.51
201307,2.55
201308,2.08
201309,7.44
201310,3.81
201311,4.99
201312,3.20
201401,2.06
201402,6.17
201403,3.03
201404,2.14
201405,6.20
201406,7.52
201407,5.34
201408,6.54
201409,3.63
201410,2.45
201411,4.03
201412,3.72
201501,5.86
201502,1.50
201503,7.02
201504,9.40
201505,6.26
201506,6.85
201507,2.20
201508,3.07
201509,2.23
201510,7.83
201511,8.60
201512,6.09
201601,3.25
201602,2.17
201603,6.61
201604,4.38
201605,4.83
201606,6.28
201607,4.17
201608,15.37
201609,3.89
201610,0.52
201611,3.10
201612,6.37
