Waldo County, Maine, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,5.10
201002,3.28
201003,7.03
201004,2.83
201005,1.76
201006,4.91
201007,3.15
201008,3.11
201009,5.39
201010,6.93
201011,6.30
201012,6.02
201101,2.56
201102,2.95
201103,5.40
201104,5.58
201105,4.00
201106,3.52
201107,2.35
201108,6.85
201109,2.91
201110,5.84
201111,2.70
201112,3.80
201201,2.93
201202,1.61
201203,2.05
201204,4.33
201205,5.78
201206,7.63
201207,1.25
201208,3.64
201209,4.46
201210,6.37
201211,1.44
201212,5.59
201301,1.09
201302,3.44
201303,2.34
201304,1.96
201305,5.07
201306,5.90
201307,3.61
201308,4.57
201309,5.94
201310,1.18
201311,4.79
201312,4.81
201401,4.79
201402,3.11
201403,4.34
201404,3.29
201405,3.83
201406,5.06
201407,7.68
201408,3.67
201409,1.39
201410,7.05
201411,4.64
201412,6.60
201501,3.91
201502,2.34
201503,1.78
201504,3.45
201505,1.93
201506,5.82
201507,2.06
201508,3.20
201509,4.24
201510,6.35
201511,3.03
201512,5.46
201601,3.06
201602,5.12
201603,3.95
201604,2.70
201605,2.11
201606,3.38
201607,3.39
201608,2.23
201609,1.67
201610,4.43
201611,5.19
201612,5.44
