Grand Traverse County, Michigan, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.90
201002,0.60
201003,0.52
201004,2.68
201005,2.76
201006,5.65
201007,3.75
201008,3.20
201009,5.19
201010,1.69
201011,1.05
201012,1.58
201101,1.74
201102,0.76
201103,1.65
201104,5.44
201105,3.25
201106,3.95
201107,1.07
201108,2.55
201109,2.98
201110,3.69
201111,3.56
201112,1.65
201201,2.19
201202,1.25
201203,3.14
201204,2.48
201205,4.07
201206,4.06
201207,3.00
201208,1.09
201209,3.44
201210,5.81
201211,0.86
201212,2.91
201301,3.19
201302,2.46
201303,1.72
201304,4.40
201305,3.03
201306,1.67
201307,2.59
201308,3.24
201309,2.69
201310,6.30
201311,5.85
201312,1.89
201401,2.38
201402,0.93
201403,1.25
201404,4.57
201405,3.50
201406,2.82
201407,2.31
201408,2.33
201409,5.90
201410,6.11
201411,4.08
201412,1.29
201501,1.09
201502,0.60
201503,0.68
201504,1.77
201505,4.19
201506,2.17
201507,1.42
201508,2.96
201509,4.47
201510,2.63
201511,3.85
201512,4.31
201601,2.45
201602,1.39
201603,4.09
201604,2.07
201605,1.71
201606,2.21
201607,2.65
201608,3.48
201609,3.32
201610,3.13
201611,1.38
201612,2.76
