Chisago County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.39
201002,0.42
201003,0.88
201004,1.63
201005,3.32
201006,6.40
201007,5.59
201008,5.65
201009,6.11
201010,1.91
201011,1.76
201012,2.00
201101,0.92
201102,0.67
201103,1.71
201104,2.77
201105,6.09
201106,3.08
201107,6.33
201108,3.75
201109,0.82
201110,0.79
201111,0.26
201112,0.55
201201,0.66
201202,1.30
201203,1.66
201204,2.37
201205,9.82
201206,3.77
201207,4.04
201208,1.05
201209,0.49
201210,1.33
201211,0.79
201212,1.66
201301,0.74
201302,1.10
201303,1.98
201304,3.67
201305,4.25
201306,5.72
201307,2.65
201308,0.78
201309,2.60
201310,3.38
201311,0.65
201312,1.87
201401,0.90
201402,1.06
201403,0.94
201404,5.98
201405,4.80
201406,9.02
201407,1.52
201408,5.31
201409,3.93
201410,1.31
201411,1.80
201412,0.95
201501,0.24
201502,0.31
201503,0.47
201504,2.06
201505,5.05
201506,3.69
201507,5.61
201508,5.22
201509,3.78
201510,3.20
201511,3.40
201512,1.79
201601,0.33
201602,0.48
201603,2.72
201604,2.54
201605,2.27
201606,3.51
201607,7.46
201608,6.86
201609,4.10
201610,3.11
201611,1.92
201612,1.16
