Hubbard County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.53
201002,0.43
201003,0.83
201004,1.21
201005,3.05
201006,3.60
201007,5.14
201008,4.49
201009,5.36
201010,2.52
201011,0.91
201012,1.23
201101,0.83
201102,0.25
201103,0.76
201104,3.08
201105,4.11
201106,4.06
201107,2.68
201108,2.97
201109,1.09
201110,0.73
201111,0.34
201112,0.31
201201,0.61
201202,0.56
201203,2.11
201204,3.11
201205,3.26
201206,4.79
201207,3.67
201208,2.63
201209,0.39
201210,2.01
201211,0.61
201212,0.59
201301,1.40
201302,1.35
201303,1.75
201304,1.98
201305,3.89
201306,4.19
201307,2.23
201308,1.66
201309,2.39
201310,3.48
201311,0.50
201312,1.42
201401,0.68
201402,0.41
201403,0.85
201404,3.39
201405,3.61
201406,8.00
201407,2.32
201408,2.82
201409,1.13
201410,0.77
201411,0.51
201412,0.26
201501,0.41
201502,0.35
201503,0.65
201504,0.90
201505,7.27
201506,3.37
201507,3.73
201508,2.25
201509,3.03
201510,2.39
201511,2.26
201512,1.02
201601,0.60
201602,0.68
201603,1.19
201604,2.00
201605,1.80
201606,2.77
201607,5.95
201608,4.65
201609,2.52
201610,1.16
201611,1.67
201612,1.33
