Steele County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,0.52
201002,1.07
201003,1.28
201004,1.34
201005,2.63
201006,7.02
201007,5.30
201008,2.55
201009,11.36
201010,0.91
201011,2.50
201012,2.53
201101,0.73
201102,1.31
201103,2.14
201104,4.01
201105,4.13
201106,5.06
201107,7.10
201108,0.94
201109,1.04
201110,0.48
201111,0.34
201112,1.17
201201,0.67
201202,2.19
201203,1.60
201204,3.46
201205,6.93
201206,5.54
201207,2.48
201208,2.22
201209,0.87
201210,1.72
201211,0.51
201212,1.46
201301,0.73
201302,1.40
201303,2.60
201304,6.28
201305,7.10
201306,5.49
201307,4.81
201308,2.24
201309,1.59
201310,3.24
201311,0.96
201312,0.89
201401,0.92
201402,1.31
201403,0.85
201404,6.09
201405,2.47
201406,10.74
201407,1.42
201408,5.29
201409,2.33
201410,1.56
201411,0.72
201412,0.75
201501,0.46
201502,0.65
201503,1.01
201504,3.13
201505,4.69
201506,7.04
201507,6.09
201508,4.59
201509,4.52
201510,1.43
201511,4.31
201512,2.66
201601,0.44
201602,0.62
201603,2.35
201604,1.86
201605,3.96
201606,4.62
201607,8.47
201608,9.69
201609,9.99
201610,3.23
201611,1.66
201612,1.84
