Swift County, Minnesota, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.32
201002,1.11
201003,1.05
201004,1.43
201005,2.18
201006,4.32
201007,3.76
201008,6.23
201009,5.60
201010,2.07
201011,0.85
201012,2.19
201101,1.14
201102,0.99
201103,1.43
201104,1.80
201105,4.82
201106,4.27
201107,6.43
201108,1.79
201109,0.44
201110,1.29
201111,0.21
201112,0.19
201201,0.28
201202,1.25
201203,0.95
201204,2.72
201205,4.41
201206,4.33
201207,1.37
201208,2.18
201209,0.17
201210,1.10
201211,0.59
201212,1.59
201301,0.55
201302,1.54
201303,1.97
201304,3.10
201305,3.22
201306,6.56
201307,2.26
201308,1.19
201309,2.69
201310,3.29
201311,0.04
201312,0.81
201401,0.65
201402,0.27
201403,0.98
201404,3.85
201405,4.16
201406,9.63
201407,1.28
201408,5.77
201409,1.71
201410,1.09
201411,1.62
201412,0.62
201501,0.32
201502,0.35
201503,0.59
201504,0.95
201505,6.47
201506,3.79
201507,3.80
201508,4.83
201509,0.79
201510,1.94
201511,1.96
201512,1.34
201601,0.28
201602,0.47
201603,1.23
201604,2.00
201605,2.28
201606,1.84
201607,7.71
201608,5.57
201609,2.99
201610,3.16
201611,1.99
201612,1.34
