Gasconade County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.63
201002,2.08
201003,2.48
201004,3.73
201005,6.69
201006,5.26
201007,8.63
201008,4.65
201009,9.00
201010,0.46
201011,4.07
201012,1.50
201101,0.97
201102,3.89
201103,5.34
201104,4.38
201105,5.05
201106,5.08
201107,2.83
201108,5.48
201109,3.01
201110,1.83
201111,4.66
201112,2.98
201201,1.50
201202,2.11
201203,3.59
201204,5.21
201205,1.34
201206,0.92
201207,2.65
201208,3.02
201209,4.47
201210,3.00
201211,1.03
201212,2.12
201301,3.15
201302,3.42
201303,4.06
201304,6.08
201305,6.96
201306,6.40
201307,3.31
201308,2.10
201309,2.21
201310,1.57
201311,1.92
201312,1.86
201401,1.35
201402,1.03
201403,1.16
201404,6.54
201405,4.23
201406,4.22
201407,1.86
201408,5.50
201409,2.45
201410,6.92
201411,2.55
201412,2.66
201501,0.95
201502,1.29
201503,3.31
201504,4.86
201505,6.04
201506,8.38
201507,6.63
201508,3.76
201509,0.75
201510,1.57
201511,9.25
201512,11.24
201601,0.74
201602,1.25
201603,2.96
201604,3.53
201605,5.04
201606,1.42
201607,5.44
201608,8.65
201609,6.36
201610,1.34
201611,1.61
201612,0.81
