Iron County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,2.52
201002,1.68
201003,3.50
201004,2.12
201005,5.35
201006,2.26
201007,7.55
201008,1.77
201009,6.16
201010,0.54
201011,4.31
201012,0.77
201101,0.80
201102,4.55
201103,4.56
201104,12.98
201105,7.61
201106,3.65
201107,3.02
201108,3.04
201109,3.69
201110,1.52
201111,5.19
201112,4.10
201201,2.36
201202,2.39
201203,3.31
201204,2.82
201205,1.54
201206,1.27
201207,2.73
201208,2.83
201209,6.92
201210,3.91
201211,2.49
201212,1.94
201301,5.80
201302,4.31
201303,6.23
201304,6.28
201305,7.39
201306,4.60
201307,2.78
201308,6.62
201309,2.36
201310,3.54
201311,2.73
201312,4.28
201401,1.80
201402,0.96
201403,2.27
201404,5.96
201405,3.61
201406,6.01
201407,2.07
201408,3.77
201409,1.85
201410,6.96
201411,2.66
201412,3.50
201501,2.05
201502,1.98
201503,4.77
201504,3.63
201505,7.12
201506,6.33
201507,7.01
201508,6.32
201509,2.37
201510,1.20
201511,9.27
201512,9.04
201601,0.79
201602,2.08
201603,2.80
201604,3.26
201605,9.24
201606,2.27
201607,6.49
201608,7.16
201609,5.49
201610,2.86
201611,2.22
201612,0.77
