Randolph County, Missouri, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,1.41
201002,2.26
201003,2.45
201004,7.21
201005,6.08
201006,7.34
201007,9.18
201008,4.01
201009,7.83
201010,0.73
201011,1.87
201012,0.90
201101,1.25
201102,3.04
201103,1.82
201104,4.62
201105,4.90
201106,4.16
201107,2.09
201108,1.69
201109,0.77
201110,0.98
201111,5.62
201112,3.48
201201,0.45
201202,1.89
201203,4.81
201204,4.94
201205,2.54
201206,1.94
201207,1.78
201208,0.69
201209,4.95
201210,4.52
201211,1.74
201212,1.41
201301,2.46
201302,3.58
201303,2.88
201304,8.77
201305,7.85
201306,3.32
201307,1.18
201308,0.99
201309,2.12
201310,3.77
201311,2.49
201312,1.42
201401,0.53
201402,1.19
201403,0.84
201404,5.84
201405,2.40
201406,5.55
201407,3.34
201408,5.31
201409,3.56
201410,7.72
201411,1.17
201412,1.56
201501,0.78
201502,1.39
201503,1.97
201504,2.93
201505,5.46
201506,9.53
201507,8.27
201508,2.14
201509,1.11
201510,1.75
201511,7.51
201512,5.83
201601,0.83
201602,0.57
201603,1.80
201604,3.67
201605,5.55
201606,3.16
201607,6.36
201608,5.81
201609,4.00
201610,2.76
201611,0.72
201612,1.16
