George County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,7.05
201002,6.11
201003,3.78
201004,1.58
201005,7.91
201006,5.07
201007,4.36
201008,7.10
201009,1.94
201010,1.44
201011,5.25
201012,1.24
201101,4.17
201102,3.56
201103,6.54
201104,1.29
201105,1.11
201106,2.96
201107,8.58
201108,3.81
201109,13.38
201110,0.47
201111,2.35
201112,3.12
201201,3.87
201202,8.12
201203,8.23
201204,3.97
201205,5.34
201206,7.53
201207,10.58
201208,15.99
201209,5.79
201210,1.03
201211,1.44
201212,4.84
201301,4.89
201302,9.40
201303,1.33
201304,7.26
201305,6.90
201306,4.38
201307,8.34
201308,6.45
201309,3.64
201310,1.91
201311,4.12
201312,6.79
201401,2.63
201402,6.58
201403,6.30
201404,10.98
201405,8.61
201406,5.22
201407,5.12
201408,4.37
201409,2.65
201410,2.34
201411,2.39
201412,6.04
201501,5.16
201502,2.43
201503,5.87
201504,8.30
201505,7.23
201506,5.06
201507,5.45
201508,3.70
201509,5.03
201510,4.89
201511,6.01
201512,11.47
201601,4.60
201602,4.87
201603,9.28
201604,6.23
201605,3.53
201606,6.08
201607,5.38
201608,5.71
201609,3.98
201610,0.10
201611,1.92
201612,7.56
