Marion County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.31
201002,6.82
201003,3.31
201004,3.18
201005,4.02
201006,3.69
201007,6.84
201008,8.95
201009,0.11
201010,1.24
201011,5.43
201012,1.80
201101,4.39
201102,3.27
201103,8.95
201104,1.70
201105,0.88
201106,3.57
201107,9.45
201108,2.16
201109,11.09
201110,0.30
201111,3.40
201112,4.86
201201,5.57
201202,8.14
201203,8.24
201204,3.84
201205,1.86
201206,2.47
201207,7.97
201208,16.39
201209,4.83
201210,1.54
201211,2.53
201212,8.54
201301,10.11
201302,9.62
201303,1.84
201304,7.80
201305,5.89
201306,5.64
201307,5.78
201308,6.91
201309,6.30
201310,1.40
201311,4.47
201312,4.98
201401,2.22
201402,8.21
201403,6.37
201404,5.54
201405,6.71
201406,6.38
201407,3.41
201408,5.58
201409,3.29
201410,2.20
201411,2.05
201412,4.98
201501,4.99
201502,2.80
201503,5.53
201504,4.69
201505,7.91
201506,4.76
201507,5.17
201508,2.90
201509,1.71
201510,5.61
201511,6.56
201512,7.38
201601,3.19
201602,4.59
201603,14.30
201604,3.75
201605,3.21
201606,4.36
201607,6.33
201608,9.23
201609,4.11
201610,0.38
201611,2.18
201612,4.76
