Tate County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.81
201002,3.70
201003,3.49
201004,4.46
201005,6.62
201006,2.01
201007,4.75
201008,2.02
201009,1.21
201010,2.22
201011,7.45
201012,1.15
201101,2.72
201102,3.02
201103,4.40
201104,14.31
201105,3.44
201106,3.12
201107,2.80
201108,2.60
201109,3.57
201110,2.23
201111,5.83
201112,7.64
201201,3.83
201202,2.76
201203,4.61
201204,2.57
201205,1.94
201206,2.30
201207,3.09
201208,1.66
201209,4.70
201210,4.88
201211,2.05
201212,5.72
201301,9.81
201302,4.51
201303,4.75
201304,6.72
201305,8.40
201306,3.05
201307,4.30
201308,1.73
201309,3.95
201310,3.43
201311,4.84
201312,5.40
201401,2.55
201402,5.59
201403,5.06
201404,6.18
201405,5.27
201406,10.24
201407,3.36
201408,2.68
201409,4.09
201410,5.87
201411,3.31
201412,3.95
201501,2.11
201502,4.80
201503,7.10
201504,5.48
201505,7.37
201506,3.41
201507,5.35
201508,4.75
201509,1.07
201510,2.50
201511,8.71
201512,6.05
201601,2.64
201602,5.46
201603,13.89
201604,6.05
201605,4.67
201606,2.19
201607,6.26
201608,4.46
201609,0.70
201610,1.72
201611,3.34
201612,4.55
