Walthall County, Mississippi, Precipitation
Units: Inches
Missing: -99
Date,Value
201001,4.11
201002,7.02
201003,3.04
201004,2.33
201005,3.98
201006,4.51
201007,6.17
201008,10.76
201009,0.13
201010,0.93
201011,5.19
201012,2.22
201101,4.55
201102,2.76
201103,8.51
201104,1.55
201105,0.85
201106,5.09
201107,7.88
201108,1.78
201109,11.49
201110,0.36
201111,3.85
201112,4.49
201201,4.70
201202,8.26
201203,6.94
201204,3.47
201205,1.95
201206,2.92
201207,8.63
201208,17.49
201209,4.92
201210,1.12
201211,2.72
201212,8.58
201301,11.21
201302,8.74
201303,1.79
201304,7.15
201305,5.36
201306,4.51
201307,5.38
201308,7.00
201309,5.25
201310,1.38
201311,4.46
201312,4.79
201401,2.00
201402,8.63
201403,6.34
201404,5.25
201405,8.36
201406,7.89
201407,4.67
201408,4.76
201409,3.95
201410,2.42
201411,2.02
201412,5.81
201501,4.96
201502,2.76
201503,6.18
201504,5.81
201505,8.75
201506,4.54
201507,4.78
201508,2.34
201509,1.88
201510,7.81
201511,7.28
201512,6.11
201601,3.35
201602,5.14
201603,16.64
201604,3.39
201605,3.41
201606,4.20
201607,6.94
201608,14.88
201609,4.21
201610,0.23
201611,2.51
201612,5.16
